soc,hold_time_h,P_head_total_mw,P_head_frac_of_rated,dP_critical_mw,A_bar,binding_gfm,P_head_G1_mw,P_head_G2_mw,P_head_G3_mw,P_head_G4_mw,P_head_G5_mw,P_head_G6_mw
0.7,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.725,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.75,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.775,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.8,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.825,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.85,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.875,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.9,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.925,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.95,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.975,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
1.0,0.08333333333333333,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.1,0.25,0.0,0.0,0.0,,G1,0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.25,0.6828099999999998,0.2000029291154071,0.6543312508237774,6.0059681709521175,G2,0.22760999999999995,0.11379999999999997,0.11379999999999997,0.056899999999999985,0.11379999999999997,0.056899999999999985
0.15,0.25,1.3656199999999996,0.4000058582308142,1.3086625016475548,6.0059681709521175,G2,0.4552199999999999,0.22759999999999994,0.22759999999999994,0.11379999999999997,0.22759999999999994,0.11379999999999997
0.175,0.25,2.0484299999999993,0.6000087873462213,1.962993752471332,6.0059681709521175,G2,0.6828299999999998,0.34139999999999987,0.34139999999999987,0.17069999999999994,0.34139999999999987,0.17069999999999994
0.2,0.25,2.7312399999999997,0.8000117164616286,2.61732500329511,6.0059681709521175,G2,0.91044,0.4552,0.4552,0.2276,0.4552,0.2276
0.225,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.25,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.275,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.3,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.325,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.35,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.375,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.4,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.425,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.45,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.475,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
0.5,0.25,3.4139999999999997,1.0,3.2716562541188874,6.005949225582358,G2,1.138,0.569,0.569,0.2845,0.569,0.2845
