pflow_converged,eig_ok,error,n_modes,n_free_angle,max_re_all,max_re,n_unstable,stable,zeta_min,f_at_zeta_min_hz,zeta_min_lf,f_at_zeta_min_lf_hz,f_worst_unstable_hz,wallclock_s,deployment,x_f_pu,droop_r,load_p2z,p_head_mw,config,kp_plim,kp_i,ki_i
True,True,,47,5,1.1330918353598138e-10,-0.2725885448805059,0,True,0.0011328084232320632,38.29754936666498,0.5587959905880819,0.25828184287961853,,0.2,2gfm,0.2,0.03,1.0,,A,1.0,0.2,5.0
True,True,,47,5,4.041788789593614e-10,-1.1212502095149874,0,True,0.03285446189268358,41.980683148205124,0.5718731537182667,0.25598701649335054,,0.2,2gfm,0.2,0.05,0.0,,A,1.0,0.2,5.0
True,True,,47,5,1.894025296983378e-08,-1.0852789911333183,0,True,0.03619832692373107,42.335139347798055,0.5708054441315076,0.24846299857037396,,0.2,2gfm,0.2,0.05,1.0,,A,1.0,0.2,5.0
True,True,,92,11,13.667835991495252,13.667835991495252,6,False,-0.01467309469048604,148.23522382768851,0.40631314214415426,0.44874702835532665,148.23522382768851,0.2,5gfm,0.05,0.02,0.0,,A,1.0,0.2,5.0
True,True,,92,11,13.143924899491694,13.143924899491694,6,False,-0.01466093742673586,105.0373881786994,0.40847459306443923,0.4477637774620993,148.42516050985833,0.45,5gfm,0.05,0.02,1.0,,A,1.0,0.2,5.0
True,True,,92,11,11.64756929320123,11.64756929320123,6,False,-0.012305531341358717,150.6337123393108,0.5805714268139609,0.3984071904478151,150.6337123393108,0.2,5gfm,0.05,0.03,0.0,,A,1.0,0.2,5.0
True,True,,92,11,11.14334380579416,11.14334380579416,6,False,-0.011758221306298932,150.82176115469935,0.5826532948202037,0.39678102855812664,150.82176115469935,0.2,5gfm,0.05,0.03,1.0,,A,1.0,0.2,5.0
True,True,,92,11,7.906802148663871,7.906802148663871,6,False,-0.008100160580251724,155.3506685698713,0.681176028689933,0.3137277407468569,155.3506685698713,0.2,5gfm,0.05,0.05,0.0,,A,1.0,0.2,5.0
True,True,,92,11,7.438730424199463,7.438730424199463,6,False,-0.007611644710295378,155.5349028632025,0.6821098597717161,0.3125736840254777,155.5349028632025,0.2,5gfm,0.05,0.05,1.0,,A,1.0,0.2,5.0
True,True,,92,11,11.489003952969185,11.489003952969185,6,False,-0.023578712832592136,77.52854964139219,0.4051580299074558,0.4494149003789447,77.52854964139219,0.2,5gfm,0.1,0.02,0.0,,A,1.0,0.2,5.0
True,True,,92,11,10.882265809073916,10.882265809073916,6,False,-0.022280928497111798,77.71383647255678,0.407331783274764,0.44843361586894054,77.71383647255678,0.2,5gfm,0.1,0.02,1.0,,A,1.0,0.2,5.0
True,True,,92,11,8.37916423561144,8.37916423561144,2,False,-0.016730529028713487,79.6985408756987,0.5801826102396522,0.3993477842076245,79.6985408756987,0.47,5gfm,0.1,0.03,0.0,,A,1.0,0.2,5.0
True,True,,92,11,7.811371540172686,7.811371540172686,2,False,-0.015561226504200967,79.88238328960632,0.5822896338691513,0.39770759571977266,79.88238328960632,0.2,5gfm,0.1,0.03,1.0,,A,1.0,0.2,5.0
True,True,,92,11,2.775435190275445,2.775435190275445,2,False,-0.005260710484615782,83.96548691235422,0.6816520076633659,0.31391552067334677,83.96548691235422,0.2,5gfm,0.1,0.05,0.0,,A,1.0,0.2,5.0
True,True,,92,11,2.278226931667561,2.278226931667561,2,False,-0.004309056895360485,84.14549173030764,0.6825872946457643,0.31275389554061356,84.14549173030764,0.2,5gfm,0.1,0.05,1.0,,A,1.0,0.2,5.0
True,True,,92,11,9.54442491054344,9.54442491054344,6,False,-0.028508176835629485,53.26278883509894,0.4039945534817702,0.45008282403838185,53.26278883509894,0.2,5gfm,0.15,0.02,0.0,,A,1.0,0.2,5.0
True,True,,92,11,8.846427529210864,8.846427529210864,6,False,-0.026336499356029133,53.44158615701154,0.40618059839432996,0.44910363434369627,53.44158615701154,0.2,5gfm,0.15,0.02,1.0,,A,1.0,0.2,5.0
True,True,,92,11,5.750534777862832,5.750534777862832,2,False,-0.01656581202287769,55.240301198006364,0.5797843560647244,0.40030002956763544,55.240301198006364,0.45,5gfm,0.15,0.03,0.0,,A,1.0,0.2,5.0
True,True,,92,11,5.107463956075854,5.107463956075854,2,False,-0.014666141631973433,55.41953212149756,0.5819170512837336,0.39864565213232617,55.41953212149756,0.2,5gfm,0.15,0.03,1.0,,A,1.0,0.2,5.0
True,True,,92,11,1.4448106658687772e-14,-1.0687672979190381,0,True,0.00287526515203146,59.15937708831075,0.6821335661635974,0.31410222938783156,,0.2,5gfm,0.15,0.05,0.0,,A,1.0,0.2,5.0
True,True,,92,11,1.728097669893882e-08,-1.6089604416008996,0,True,0.004315555595332653,59.33688427562236,0.6830702363153023,0.3129329684571754,,0.2,5gfm,0.15,0.05,1.0,,A,1.0,0.2,5.0
True,True,,92,11,8.597940239275282,8.597940239275282,6,False,-0.03348891238806945,40.8385056070084,0.40282269222184686,0.45075072793896004,40.8385056070084,0.2,5gfm,0.2,0.02,0.0,,A,1.0,0.2,5.0
True,True,,92,11,7.801399121409045,7.801399121409045,6,False,-0.03026401596434891,41.007858731154684,0.4050210143457378,0.4497737636161412,41.007858731154684,0.2,5gfm,0.2,0.02,1.0,,A,1.0,0.2,5.0
True,True,,92,11,4.344947162405326,4.344947162405326,2,False,-0.016212953565752235,42.646697481118565,0.5793763633312917,0.4012641730338897,42.646697481118565,0.45,5gfm,0.2,0.03,0.0,,A,1.0,0.2,5.0
True,True,,92,11,3.61352801498537,3.61352801498537,2,False,-0.013429831220749738,42.81952395330545,0.581535259699011,0.39959544477662073,42.81952395330545,0.2,5gfm,0.2,0.03,1.0,,A,1.0,0.2,5.0
True,True,,92,11,1.3720369755145205e-14,-1.8446100294140395,0,True,0.011679065583051939,46.272324375650186,0.682620800472366,0.31428780976429166,,0.2,5gfm,0.2,0.05,0.0,,A,1.0,0.2,5.0
True,True,,92,11,4.243534503121317e-09,-1.8424392437821013,0,True,0.013691910557751636,46.447668136694965,0.683558777360831,0.3131108458412698,,0.2,5gfm,0.2,0.05,1.0,,A,1.0,0.2,5.0
True,True,,108,13,13.598620822449647,13.598620822449647,6,False,-0.014676833466840483,105.035466730219,0.3628035922391002,0.47837786401764043,149.34454080427875,0.2,6gfm,0.05,0.02,0.0,,A,1.0,0.2,5.0
True,True,,108,13,13.113256840366226,13.113256840366226,6,False,-0.014676836019782185,105.03546705248836,0.3647569966772376,0.4775523279019611,149.52021246292747,0.2,6gfm,0.05,0.02,1.0,,A,1.0,0.2,5.0
True,True,,108,13,11.605979896249075,11.605979896249075,6,False,-0.012173406758665836,151.72516907191664,0.5450498506622621,0.45036289610143143,151.72516907191664,0.46,6gfm,0.05,0.03,0.0,,A,1.0,0.2,5.0
True,True,,108,13,11.13853385937502,11.13853385937502,6,False,-0.011669798294503968,151.89911284002704,0.5472512952739673,0.4488144800701389,151.89911284002704,0.2,6gfm,0.05,0.03,1.0,,A,1.0,0.2,5.0
True,True,,108,13,7.914978299126574,7.914978299126574,6,False,-0.008053783394703442,156.40687163881537,0.7097842917531114,0.331346488659486,156.40687163881537,0.2,6gfm,0.05,0.05,0.0,,A,1.0,0.2,5.0
True,True,,108,13,7.480459007412321,7.480459007412321,6,False,-0.007603384383993371,156.57732836220976,0.7104450254454953,0.33010603698998175,156.57732836220976,0.21,6gfm,0.05,0.05,1.0,,A,1.0,0.2,5.0
True,True,,108,13,11.582350817789568,11.582350817789568,6,False,-0.02360026063381865,78.08705947074114,0.3614561729116491,0.47900462530546567,78.08705947074114,0.2,6gfm,0.1,0.02,0.0,,A,1.0,0.2,5.0
True,True,,108,13,11.022805243841624,11.022805243841624,6,False,-0.022411702454768853,78.25792360958752,0.3634191910544469,0.4781827652930077,78.25792360958752,0.2,6gfm,0.1,0.02,1.0,,A,1.0,0.2,5.0
True,True,,108,13,8.517064413580641,8.517064413580641,2,False,-0.016890879296577854,80.24090969279695,0.5440504680077566,0.45169118829531174,80.24090969279695,0.46,6gfm,0.1,0.03,0.0,,A,1.0,0.2,5.0
