soc,hold_time_h,dP_mw,P_head_total_mw,mu_P_aggregate,mu_P_binding_unit,kappa,df_ss_hz_unconstrained,secure_flag
1.0,0.08333333333333333,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
1.0,0.08333333333333333,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
1.0,0.08333333333333333,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
1.0,0.08333333333333333,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
1.0,0.08333333333333333,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
1.0,0.08333333333333333,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.1,0.25,0.5,0.0,inf,inf,0.0,0.06521739130434782,False
0.1,0.25,1.0,0.0,inf,inf,0.0,0.13043478260869565,False
0.1,0.25,2.0,0.0,inf,inf,0.0,0.2608695652173913,False
0.1,0.25,3.0,0.0,inf,inf,0.0,0.391304347826087,False
0.1,0.25,5.0,0.0,inf,inf,0.0,0.6521739130434783,False
0.1,0.25,8.0,0.0,inf,inf,0.0,1.0434782608695652,False
0.125,0.25,0.5,3.5999999999999988,0.13888888888888895,0.1449275362318841,7.1999999999999975,0.06521739130434782,True
0.125,0.25,1.0,3.5999999999999988,0.2777777777777779,0.2898550724637682,3.5999999999999988,0.13043478260869565,True
0.125,0.25,2.0,3.5999999999999988,0.5555555555555558,0.5797101449275364,1.7999999999999994,0.2608695652173913,True
0.125,0.25,3.0,3.5999999999999988,0.8333333333333336,0.8695652173913045,1.1999999999999995,0.391304347826087,True
0.125,0.25,5.0,3.5999999999999988,1.3888888888888893,1.4492753623188408,0.7199999999999998,0.6521739130434783,False
0.125,0.25,8.0,3.5999999999999988,2.222222222222223,2.3188405797101455,0.44999999999999984,1.0434782608695652,False
0.15,0.25,0.5,7.1999999999999975,0.06944444444444448,0.07246376811594205,14.399999999999995,0.06521739130434782,True
0.15,0.25,1.0,7.1999999999999975,0.13888888888888895,0.1449275362318841,7.1999999999999975,0.13043478260869565,True
0.15,0.25,2.0,7.1999999999999975,0.2777777777777779,0.2898550724637682,3.5999999999999988,0.2608695652173913,True
0.15,0.25,3.0,7.1999999999999975,0.4166666666666668,0.4347826086956523,2.399999999999999,0.391304347826087,True
0.15,0.25,5.0,7.1999999999999975,0.6944444444444446,0.7246376811594204,1.4399999999999995,0.6521739130434783,True
0.15,0.25,8.0,7.1999999999999975,1.1111111111111116,1.1594202898550727,0.8999999999999997,1.0434782608695652,False
0.175,0.25,0.5,10.799999999999997,0.04629629629629631,0.04830917874396136,21.599999999999994,0.06521739130434782,True
0.175,0.25,1.0,10.799999999999997,0.09259259259259262,0.09661835748792272,10.799999999999997,0.13043478260869565,True
0.175,0.25,2.0,10.799999999999997,0.18518518518518523,0.19323671497584544,5.399999999999999,0.2608695652173913,True
0.175,0.25,3.0,10.799999999999997,0.27777777777777785,0.2898550724637682,3.599999999999999,0.391304347826087,True
0.175,0.25,5.0,10.799999999999997,0.4629629629629631,0.4830917874396136,2.1599999999999993,0.6521739130434783,True
0.175,0.25,8.0,10.799999999999997,0.7407407407407409,0.7729468599033817,1.3499999999999996,1.0434782608695652,True
0.2,0.25,0.5,14.400000000000002,0.03472222222222222,0.03623188405797101,28.800000000000004,0.06521739130434782,True
0.2,0.25,1.0,14.400000000000002,0.06944444444444443,0.07246376811594202,14.400000000000002,0.13043478260869565,True
0.2,0.25,2.0,14.400000000000002,0.13888888888888887,0.14492753623188404,7.200000000000001,0.2608695652173913,True
0.2,0.25,3.0,14.400000000000002,0.20833333333333331,0.21739130434782605,4.800000000000001,0.391304347826087,True
0.2,0.25,5.0,14.400000000000002,0.34722222222222215,0.3623188405797101,2.8800000000000003,0.6521739130434783,True
0.2,0.25,8.0,14.400000000000002,0.5555555555555555,0.5797101449275361,1.8000000000000003,1.0434782608695652,True
0.225,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.225,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.225,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.225,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.225,0.25,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.225,0.25,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.25,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.25,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.25,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.25,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.25,0.25,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.25,0.25,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.275,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.275,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.275,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.275,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.275,0.25,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.275,0.25,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.3,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.3,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.3,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.3,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.3,0.25,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.3,0.25,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.325,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.325,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.325,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.325,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
0.325,0.25,5.0,18.0,0.2777777777777778,0.2898550724637681,3.6,0.6521739130434783,True
0.325,0.25,8.0,18.0,0.4444444444444444,0.463768115942029,2.25,1.0434782608695652,True
0.35,0.25,0.5,18.0,0.027777777777777776,0.028985507246376812,36.0,0.06521739130434782,True
0.35,0.25,1.0,18.0,0.05555555555555555,0.057971014492753624,18.0,0.13043478260869565,True
0.35,0.25,2.0,18.0,0.1111111111111111,0.11594202898550725,9.0,0.2608695652173913,True
0.35,0.25,3.0,18.0,0.16666666666666666,0.17391304347826086,6.0,0.391304347826087,True
