kp_plim,dP_mw,wallclock_s,ok,settled,tds_converged,n_units_saturated,f_nadir_minbus_hz,df_ss_minbus_hz,rocof_window_hz_s,mu_i,mu_p,secure,df_ss_coi_hz,dip_coi_hz,kappa_os,bus_spread_hz,bus_spread_pct_of_dss,rocof_coi_window_hz_s,tau_eq_s,droop_zero_rad_s,pole_zero_cancels
1.0,1.1793,18.82,True,True,True,0,59.18522089453654,-0.81107674508565,1.5831909338800632,0.7181102405062864,0.6165867016019012,True,0.81107674508565,0.8147695375854482,1.0045529507807653,0.0002908285329326077,0.03585709178505619,1.5830124704416484,0.37352198940165604,-20.0,False
1.0,1.82,33.33,True,False,False,0,56.85732107063547,-1.155724544670285,6.331974153515,15.974444371364912,26.44467124434531,False,1.1557245446702922,3.142411755723586,2.7189971608849586,0.005464676881814512,0.4728355824071806,6.331263211140419,,-20.0,False
2.0,0.64,15.82,True,True,True,0,59.558711924345225,-0.4401532689486558,0.8726017132231852,0.5205670150366869,0.3824287414784356,True,0.4401532689486345,0.44128594486109307,1.0025733670345427,0.00015120638900611993,0.034353121894856495,0.8725597081314158,0.36529118531307686,-13.333333333333332,False
2.0,1.1793,16.56,True,True,True,0,59.186082629468984,-0.8110757544666143,1.5948879333299328,0.7227423236567112,0.5810601372742921,True,0.8110757544666143,0.8139132027417659,1.0034983763964411,0.0003023292528681054,0.037275094367347404,1.5947446077233522,0.3696076541876528,-13.333333333333332,False
2.0,1.82,38.19,True,True,True,0,56.74461973977408,-1.2517334384651946,6.569195836532303,3.1222871748208343,2.5258052871304306,False,1.2517334384651946,3.2548280369980347,2.600256521858937,0.003612337578708491,0.2885868083174112,6.56791783336771,,-13.333333333333332,False
5.0,0.64,15.9,True,True,True,0,59.46140722180772,-0.44015294268302796,1.078696389035265,0.5383023079814676,0.35167995294147464,True,0.44015294268300664,0.5385585516778875,1.2235713986030339,0.00016548135188543256,0.037596329784079265,1.0786322129670431,0.2635971471408505,-6.666666666666666,False
5.0,1.1793,17.23,True,True,True,0,59.00202757224215,-0.8110741897911211,1.9995976431214806,0.7637755748084387,0.5228652194659563,True,0.8110741897911282,0.9979086651573752,1.2303543593396327,0.00033633781416142483,0.04146819346427978,1.999474672770506,0.2609859438181812,-6.666666666666666,False
5.0,1.82,35.45,True,True,True,0,56.32174705257052,-1.2517303401525268,7.362957466533847,2.9582623174952225,3.156657190671027,False,1.2517303401525268,3.6776169691284935,2.9380265470599407,0.0029599298348159664,0.2364670520373654,7.361317245460588,,-6.666666666666666,False
10.0,0.64,15.64,True,True,True,0,59.163373097376436,-0.44015266854133017,1.6861297675381886,0.5567410007812107,0.3363037863601724,True,0.4401526685413373,0.8365869290561605,1.900674445138782,0.00017999024910864136,0.040892686100286006,1.6860492051970748,0.07906908162745972,-3.6363636363636362,False
10.0,1.1793,16.03,True,True,True,0,58.44758919641038,-0.8110728475770586,3.1296873403828207,0.8156953650694684,0.49497028448305586,False,0.8110728475770514,1.5523315528454447,1.9139237091745622,0.0003762649643306304,0.04639101967901662,3.1295330734288087,0.07480944737258718,-3.6363636363636362,False
10.0,1.82,61.12,True,False,False,2,55.52660681097662,-3.131908892095474,9.019592688363494,2.8227514271488827,3.699384106461264,False,3.1319088920954883,4.472769521616989,1.4281288746635161,0.002809587948625847,0.08970848276323952,9.018335203107673,0.196460511167797,-3.6363636363636362,False
