method,scenario,vpp,em_p_eur,am_cap_eur,am_act_eur,undersupply_eur,opex_eur,gross_revenue_eur,net_profit_eur,duration_h
MLP-MAPPO,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MLP-MAPPO,S3_line_trip,VPP_1,1.9344714938630347,0.3365709460323766,3.476800403347523e-06,3.5825230317216423,0.0,2.2710459166958143,-1.311477115025828,0.08333333333333333
MLP-MAPPO,S3_line_trip,VPP_2,0.3791743539515672,0.33545727531134756,3.427469494976791e-06,3.5490898349551783,0.0,0.7146350567324097,-2.8344547782227685,0.08333333333333333
MLP-MAPPO,S3_line_trip,VPP_3,0.2855115244819865,0.3305311079453143,3.362930951187623e-06,3.5003069474846966,0.0,0.616045995358252,-2.8842609521264446,0.08333333333333333
GCNN-PPO,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
GCNN-PPO,S3_line_trip,VPP_1,1.880024105511189,0.32030985064179446,4.286206998203148e-05,3.4851522586806865,0.0,2.2003768182229657,-1.2847754404577207,0.08333333333333333
GCNN-PPO,S3_line_trip,VPP_2,0.27977453199795155,0.31835567043187896,4.278058115584396e-05,3.4589093596156046,0.0,0.5981729830109863,-2.8607363766046183,0.08333333333333333
GCNN-PPO,S3_line_trip,VPP_3,0.2140601291318224,0.30769331809399975,4.128539716506791e-05,3.344369747423115,0.0,0.5217947326229873,-2.822575014800128,0.08333333333333333
MATD3,S3_line_trip,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
MATD3,S3_line_trip,VPP_1,1.9225623659529951,0.3719084004084596,0.0,0.0,0.0,2.2944707663614547,2.2944707663614547,0.08333333333333333
MATD3,S3_line_trip,VPP_2,0.36456492447299704,0.37207177231088484,0.0,0.0,0.0,0.7366366967838819,0.7366366967838819,0.08333333333333333
MATD3,S3_line_trip,VPP_3,0.27777478767773867,0.371630953350106,0.0,0.0,0.0,0.6494057410278447,0.6494057410278447,0.08333333333333333
No FFR,S4_high_ren_surge,SYSTEM,0.0,0.0,0.0,0.0,7.0378710045662105,0.0,-7.0378710045662105,0.08333333333333333
