scenario,method,metric,mean,std
S3_line_trip,MLP-MAPPO,itae,8841.524171847033,3784.328280035465
S3_line_trip,MLP-MAPPO,time_in_violation_s,4.95,9.526148224754852
S3_line_trip,MLP-MAPPO,ffr_success,0.15,0.3570714214271425
S3_line_trip,GraphSAGE-MAPPO,nadir_hz,49.70894470455586,0.06517183749895443
S3_line_trip,GraphSAGE-MAPPO,zenith_hz,50.172622212013046,0.07419920444160856
S3_line_trip,GraphSAGE-MAPPO,rocof_max_hz_s,3.0481042370907026,0.5981274922092438
S3_line_trip,GraphSAGE-MAPPO,delta_f_max_hz,0.2910552954441304,0.06517183749895443
S3_line_trip,GraphSAGE-MAPPO,settling_time_s,6.75,1.7571283390805579
S3_line_trip,GraphSAGE-MAPPO,iae_total,5.617190332356253,1.2831715754249367
S3_line_trip,GraphSAGE-MAPPO,iae_post,0.816433543953688,0.19970704704250802
S3_line_trip,GraphSAGE-MAPPO,itae,457.26357788483665,126.14943669617278
S3_line_trip,GraphSAGE-MAPPO,time_in_violation_s,0.0,0.0
S3_line_trip,GraphSAGE-MAPPO,ffr_success,0.1,0.30000000000000004
S4_high_ren_surge,No FFR,nadir_hz,49.63511464728691,0.0708431272949284
S4_high_ren_surge,No FFR,zenith_hz,51.17550428412694,0.3797690342345075
S4_high_ren_surge,No FFR,rocof_max_hz_s,3.0886519765503815,1.1292077131272567
S4_high_ren_surge,No FFR,delta_f_max_hz,1.1755042841269336,0.3797690342345075
S4_high_ren_surge,No FFR,settling_time_s,19.9,10.044401425669925
S4_high_ren_surge,No FFR,iae_total,12.66561021846182,7.2711463625979516
S4_high_ren_surge,No FFR,iae_post,7.0662440919734495,1.1626928535640506
S4_high_ren_surge,No FFR,itae,920.2134353489497,1130.9661817633487
S4_high_ren_surge,No FFR,time_in_violation_s,5.65,2.6509432283623124
S4_high_ren_surge,No FFR,ffr_success,0.0,0.0
S4_high_ren_surge,Fixed Droop,nadir_hz,49.63511464728691,0.0708431272949284
S4_high_ren_surge,Fixed Droop,zenith_hz,51.25945332784354,0.4045707625515761
S4_high_ren_surge,Fixed Droop,rocof_max_hz_s,3.4535377229276394,0.9399478810141947
S4_high_ren_surge,Fixed Droop,delta_f_max_hz,1.2594533278435318,0.4045707625515761
S4_high_ren_surge,Fixed Droop,settling_time_s,45.05,11.783356907095703
S4_high_ren_surge,Fixed Droop,iae_total,36.17469743550311,12.08799205655896
S4_high_ren_surge,Fixed Droop,iae_post,9.824934137283183,2.3682347659064535
S4_high_ren_surge,Fixed Droop,itae,4320.126367555724,1629.1161341192587
S4_high_ren_surge,Fixed Droop,time_in_violation_s,4.4,1.5937377450509227
S4_high_ren_surge,Fixed Droop,ffr_success,0.0,0.0
S4_high_ren_surge,MATD3,nadir_hz,49.225160144565656,0.23942681869326557
S4_high_ren_surge,MATD3,zenith_hz,50.30845476245051,0.3873534322879558
S4_high_ren_surge,MATD3,rocof_max_hz_s,3.727243451899265,1.031712982030705
S4_high_ren_surge,MATD3,delta_f_max_hz,0.7762251350196199,0.24172781277414757
S4_high_ren_surge,MATD3,settling_time_s,22.5,20.21756661915573
S4_high_ren_surge,MATD3,iae_total,14.901167260218617,12.302960482782991
S4_high_ren_surge,MATD3,iae_post,3.4177922693359184,2.5465912579545966
S4_high_ren_surge,MATD3,itae,1381.169290378742,1434.1563852598035
S4_high_ren_surge,MATD3,time_in_violation_s,1.8,1.1224972160321824
S4_high_ren_surge,MATD3,ffr_success,0.0,0.0
S4_high_ren_surge,GCNN-PPO,nadir_hz,49.289644242528595,0.23665647527887965
S4_high_ren_surge,GCNN-PPO,zenith_hz,50.51326297243635,0.29949326865729253
S4_high_ren_surge,GCNN-PPO,rocof_max_hz_s,3.778544074493369,1.318528802859112
S4_high_ren_surge,GCNN-PPO,delta_f_max_hz,0.7456084317343759,0.30383856585400165
S4_high_ren_surge,GCNN-PPO,settling_time_s,49.9,0.43588989435406733
S4_high_ren_surge,GCNN-PPO,iae_total,33.242108344846685,8.506519494630208
S4_high_ren_surge,GCNN-PPO,iae_post,5.892352830689281,1.7234445025207366
S4_high_ren_surge,GCNN-PPO,itae,3891.0970342130795,952.2194476011315
S4_high_ren_surge,GCNN-PPO,time_in_violation_s,2.05,1.8020821290940099
S4_high_ren_surge,GCNN-PPO,ffr_success,0.05,0.21794494717703364
S4_high_ren_surge,MLP-MAPPO,nadir_hz,49.20611077845918,0.2456051684307264
S4_high_ren_surge,MLP-MAPPO,zenith_hz,50.591556072097546,0.22216281325067247
S4_high_ren_surge,MLP-MAPPO,rocof_max_hz_s,3.6254332010015218,1.2013948883865704
S4_high_ren_surge,MLP-MAPPO,delta_f_max_hz,0.8009666387338559,0.25125441916766583
S4_high_ren_surge,MLP-MAPPO,settling_time_s,50.0,0.0
S4_high_ren_surge,MLP-MAPPO,iae_total,73.26833308045853,20.714751065223236
S4_high_ren_surge,MLP-MAPPO,iae_post,11.869248867862463,3.5870611772202925
S4_high_ren_surge,MLP-MAPPO,itae,9303.345233833074,2644.892751137623
S4_high_ren_surge,MLP-MAPPO,time_in_violation_s,12.25,25.582953308795293
S4_high_ren_surge,MLP-MAPPO,ffr_success,0.15,0.3570714214271425
S4_high_ren_surge,GraphSAGE-MAPPO,nadir_hz,49.201246952363405,0.25677316583761767
S4_high_ren_surge,GraphSAGE-MAPPO,zenith_hz,50.0099434149718,0.02494184975036499
S4_high_ren_surge,GraphSAGE-MAPPO,rocof_max_hz_s,3.0032099700933808,0.2965047425545332
S4_high_ren_surge,GraphSAGE-MAPPO,delta_f_max_hz,0.7987530476366025,0.2567731658376177
S4_high_ren_surge,GraphSAGE-MAPPO,settling_time_s,22.75,20.054612935681405
S4_high_ren_surge,GraphSAGE-MAPPO,iae_total,19.998702977100557,19.180891228065843
S4_high_ren_surge,GraphSAGE-MAPPO,iae_post,4.086617897761632,3.439185509161466
S4_high_ren_surge,GraphSAGE-MAPPO,itae,2230.13840117815,2519.829281646866
S4_high_ren_surge,GraphSAGE-MAPPO,time_in_violation_s,1.45,0.8046738469715541
S4_high_ren_surge,GraphSAGE-MAPPO,ffr_success,0.0,0.0
